Size, alg1, alg2, alg3, alg4
Size, alg1, alg2, alg3, alg4
3, 4.28E-7, 4.27E-7, 4.28E-7, 0.0
4, 4.28E-7, 4.28E-7, 0.0, 0.0
5, 4.28E-7, 0.0, 4.27E-7, 4.28E-7
6, 4.28E-7, 4.28E-7, 4.27E-7, 4.28E-7
7, 8.55E-7, 4.28E-7, 4.27E-7, 4.28E-7
8, 8.56E-7, 4.28E-7, 4.28E-7, 4.28E-7
9, 4.28E-7, 0.0, 4.28E-7, 4.27E-7
10, 4.28E-7, 4.28E-7, 0.0, 0.0
11, 4.28E-7, 4.27E-7, 0.0, 0.0
12, 0.0, 0.0, 4.28E-7, 0.0
13, 4.28E-7, 0.0, 0.0, 4.27E-7
14, 4.28E-7, 4.28E-7, 0.0, 0.0
15, 4.28E-7, 4.28E-7, 0.0, 0.0
16, 4.28E-7, 4.28E-7, 0.0, 0.0
17, 0.0, 0.0, 4.28E-7, 0.0
18, 4.28E-7, 0.0, 0.0, 0.0
19, 0.0, 4.28E-7, 4.27E-7, 0.0
20, 4.28E-7, 4.28E-7, 4.28E-7, 0.0
21, 4.28E-7, 0.0, 0.0, 4.28E-7
22, 4.28E-7, 0.0, 0.0, 4.28E-7
23, 4.28E-7, 0.0, 0.0, 0.0
24, 4.28E-7, 0.0, 0.0, 0.0
25, 0.0, 0.0, 4.28E-7, 4.27E-7
26, 4.27E-7, 0.0, 0.0, 4.28E-7
27, 4.27E-7, 4.27E-7, 4.28E-7, 4.28E-7
28, 4.28E-7, 4.28E-7, 0.0, 0.0
29, 4.28E-7, 0.0, 0.0, 4.28E-7
30, 4.27E-7, 0.0, 0.0, 4.28E-7
31, 4.28E-7, 4.27E-7, 0.0, 0.0
32, 0.0, 0.0, 4.28E-7, 0.0
33, 0.0, 4.27E-7, 0.0, 0.0
34, 4.28E-7, 4.27E-7, 4.28E-7, 4.28E-7
35, 0.0, 4.28E-7, 0.0, 0.0
36, 4.28E-7, 0.0, 0.0, 4.28E-7
37, 4.28E-7, 4.28E-7, 4.27E-7, 4.28E-7
38, 4.28E-7, 0.0, 0.0, 4.28E-7
39, 0.0, 0.0, 4.28E-7, 0.0
40, 4.28E-7, 4.27E-7, 4.28E-7, 4.28E-7
41, 4.28E-7, 0.0, 4.28E-7, 4.28E-7
42, 0.0, 0.0, 4.28E-7, 0.0
43, 0.0, 0.0, 4.27E-7, 0.0
