Size, alg1, alg2, alg3, alg4
Size, alg1, alg2, alg3, alg4
3, 4.28E-7, 4.28E-7, 4.27E-7, 4.28E-7
4, 4.28E-7, 4.28E-7, 4.28E-7, 4.27E-7
5, 4.28E-7, 4.28E-7, 4.28E-7, 0.0
6, 4.28E-7, 4.28E-7, 4.28E-7, 4.28E-7
7, 4.27E-7, 4.27E-7, 4.28E-7, 4.28E-7
8, 8.55E-7, 4.28E-7, 4.28E-7, 4.27E-7
9, 4.28E-7, 4.28E-7, 4.28E-7, 4.27E-7
10, 4.28E-7, 0.0, 0.0, 0.0
11, 4.28E-7, 0.0, 0.0, 4.27E-7
12, 4.27E-7, 0.0, 0.0, 4.27E-7
13, 4.28E-7, 4.28E-7, 4.28E-7, 4.28E-7
14, 4.28E-7, 0.0, 0.0, 0.0
15, 4.28E-7, 0.0, 0.0, 0.0
16, 4.28E-7, 0.0, 4.28E-7, 4.27E-7
17, 8.56E-7, 0.0, 0.0, 4.28E-7
18, 4.28E-7, 0.0, 0.0, 0.0
19, 4.28E-7, 4.28E-7, 4.28E-7, 4.28E-7
20, 4.28E-7, 4.28E-7, 4.27E-7, 0.0
21, 4.28E-7, 0.0, 4.28E-7, 4.28E-7
22, 4.27E-7, 0.0, 0.0, 4.28E-7
23, 4.28E-7, 0.0, 0.0, 0.0
24, 4.28E-7, 0.0, 0.0, 0.0
25, 4.28E-7, 0.0, 0.0, 4.27E-7
26, 4.28E-7, 4.28E-7, 4.27E-7, 4.28E-7
27, 4.27E-7, 0.0, 0.0, 0.0
28, 0.0, 0.0, 4.28E-7, 0.0
29, 4.28E-7, 0.0, 0.0, 0.0
30, 0.0, 4.27E-7, 4.28E-7, 4.28E-7
31, 8.55E-7, 4.28E-7, 4.27E-7, 4.28E-7
32, 4.28E-7, 4.28E-7, 0.0, 0.0
33, 4.28E-7, 4.27E-7, 4.28E-7, 4.28E-7
34, 4.28E-7, 4.28E-7, 4.28E-7, 0.0
35, 4.28E-7, 4.28E-7, 4.28E-7, 4.28E-7
36, 4.27E-7, 0.0, 0.0, 0.0
37, 4.28E-7, 0.0, 0.0, 0.0
38, 4.28E-7, 0.0, 0.0, 0.0
39, 8.56E-7, 4.28E-7, 0.0, 0.0
40, 8.55E-7, 4.28E-7, 0.0, 0.0
41, 4.28E-7, 4.28E-7, 4.28E-7, 4.28E-7
42, 4.27E-7, 0.0, 0.0, 4.28E-7
43, 8.56E-7, 4.28E-7, 4.28E-7, 4.28E-7
