Size, Quick Sort, Merge Sort
2, 2.362E-6, 2.953E-6
4, 1.181E-6, 1.771E-6
8, 1.772E-6, 3.544E-6
16, 3.248E-6, 7.087E-6
32, 7.383E-6, 1.5355E-5
64, 1.5355E-5, 3.3959E-5
128, 3.4254E-5, 8.9179E-5
256, 8.3567E-5, 1.98141E-4
512, 1.7688E-4, 3.8388E-4
1024, 5.63713E-4, 0.001034703
2048, 4.11341E-4, 0.00159192
4096, 3.32499E-4, 5.5574E-4
8192, 6.88622E-4, 6.54663E-4
16384, 0.001434234, 0.001422718
32768, 0.001734546, 0.002913943
65536, 0.003625597, 0.006450952
131072, 0.007457898, 0.013268656
262144, 0.015832383, 0.028152561
524288, 0.033276766, 0.058369509
1048576, 0.068320263, 0.123482014
2097152, 0.142791757, 0.267963137
4194304, 0.296788078, 0.552712155
8388608, 0.614261665, 1.16537629
